Entity,Code,Year,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010,2020,2023
Albania,ALB,27,,,,,,0.302872,0.302714,0.278094,0.221297,0.216784,0.164402,0.121799,0.083338,0.085185
Albania,ALB,28,,,,,,0.303108,0.295638,0.264325,0.208302,0.203947,0.158538,0.113888,0.088071,0.088156
Albania,ALB,29,,,,,,0.302899,0.288046,0.251165,0.194524,0.187349,0.148158,0.103539,0.09911,0.08906
Albania,ALB,30,,,,,,0.302391,0.280278,0.235677,0.184482,0.172349,0.127699,0.091343,0.09066,0.087729
Albania,ALB,31,,,,,,0.297327,0.272965,0.224219,0.171037,0.152197,0.11191,0.078854,0.081681,0.083592
Albania,ALB,32,,,,,,0.287886,0.265833,0.213011,0.158112,0.132247,0.095244,0.066584,0.078839,0.077004
Albania,ALB,33,,,,,,0.274527,0.25864,0.201593,0.145526,0.11331,0.078985,0.055643,0.068021,0.069531
Albania,ALB,34,,,,,,0.257997,0.251034,0.189523,0.133011,0.095901,0.064063,0.046176,0.061873,0.061499
Albania,ALB,35,,,,,,0.239935,0.233851,0.17751,0.121758,0.079097,0.052595,0.037677,0.053591,0.05278
Albania,ALB,36,,,,,,0.223244,0.224565,0.163239,0.108534,0.065599,0.041275,0.030117,0.044918,0.043587
Albania,ALB,37,,,,,,0.205787,0.213801,0.147868,0.094936,0.053884,0.032018,0.023584,0.033049,0.035
Albania,ALB,38,,,,,,0.187801,0.201345,0.131659,0.081135,0.043825,0.024571,0.018058,0.025393,0.027244
Albania,ALB,39,,,,,,0.171199,0.187139,0.115006,0.067456,0.035232,0.018646,0.013344,0.018086,0.020224
Albania,ALB,40,,,,,,0.156943,0.171803,0.09864,0.05392,0.0284,0.013558,0.009412,0.014194,0.013697
Albania,ALB,41,,,,,,0.137855,0.15458,0.082618,0.041911,0.022081,0.009946,0.006303,0.00773,0.008778
Albania,ALB,42,,,,,,0.115578,0.136441,0.067679,0.031328,0.016756,0.007085,0.003999,0.004544,0.005104
Albania,ALB,43,,,,,,0.094404,0.117952,0.054206,0.022442,0.012313,0.004845,0.002326,0.002359,0.002662
Albania,ALB,44,,,,,,0.075352,0.099725,0.042452,0.015353,0.008692,0.003119,0.001229,0.001236,0.001337
Albania,ALB,45,,,,,,0.058819,0.052831,0.036722,0.01225,0.003944,0.001403,0.000738,0.000873,0.000871
Albania,ALB,46,,,,,,0.044578,0.042536,0.027528,0.007564,0.002483,0.000754,0.000518,0.000577,0.000515
